framework,run,first-contentful-paint,largest-contentful-paint,total-blocking-time,server-response-time,speed-index,first-meaningful-paint,dom-content-loaded,interactive,max-potential-fid,bootup-time
vue,69,1355.563,1378.563,0.0,3.8499999999999996,1355.563,1378.563,44,1378.563,46.0,69.07600000000001
vue,70,1358.1354000000001,1358.1354000000001,0.0,3.4459999999999997,1358.1354000000001,1358.1354000000001,64,1358.1354000000001,16.0,69.82000000000004
vue,71,1360.0373749999999,1360.0373749999999,0.0,2.854,1360.0373749999999,1360.0373749999999,55,1360.0373749999999,16.0,78.124
vue,72,1357.9566249999998,1383.9566249999998,1.0,2.231,1357.9566249999998,1383.9566249999998,53,1409.9566249999998,52.0,72.53200000000002
vue,73,1368.9786,1400.9786,14.0,3.2399999999999998,1368.9786,1400.9786,66,1432.9786,64.0,100.74400000000003
vue,74,1357.2867500000002,1384.7867500000002,3.5426499999999805,2.917,1357.2867500000002,1384.7867500000002,54,1412.2867500000002,55.0,69.72800000000002
vue,75,1357.12635,1382.12635,0.0,2.355,1357.12635,1382.12635,59,1382.12635,50.0,66.87200000000003
vue,76,1355.6731250000003,1355.6731250000003,0.0,2.249,1355.6731250000003,1355.6731250000003,42,1355.6731250000003,16.0,67.69200000000002
vue,77,1355.79975,1405.79975,48.84005000000002,2.9499999999999997,1355.79975,1405.79975,59,1455.79975,100.0,114.90799999999997
vue,78,1356.50295,1391.50295,20.0,3.037,1356.50295,1391.50295,67,1426.50295,70.0,103.37199999999999
vue,79,1361.0883000000001,1361.0883000000001,0.0,3.686,1361.0883000000001,1361.0883000000001,48,1361.0883000000001,16.0,59.432000000000016
vue,80,1361.0904,1392.0904,12.0,3.6719999999999997,1361.0904,1392.0904,55,1423.0904,62.0,80.91999999999999
vue,81,1356.7712499999998,1385.2712499999998,5.645750000000021,2.677,1356.7712499999998,1385.2712499999998,60,1413.7712499999998,57.0,77.88000000000005
vue,82,1355.3447499999997,1376.8447499999997,0.0,2.121,1355.3447499999997,1376.8447499999997,45,1376.8447499999997,43.0,60.696000000000055
vue,83,1357.4074999999998,1381.4074999999998,0.0,2.941,1357.4074999999998,1381.4074999999998,45,1381.4074999999998,48.0,56.27600000000007
vue,84,1358.268875,1358.268875,0.0,3.2790000000000004,1358.268875,1358.268875,65,1358.268875,16.0,97.352
vue,85,1357.1891249999999,1381.1891249999999,0.0,2.842,1357.1891249999999,1381.1891249999999,48,1381.1891249999999,48.0,63.132000000000026
vue,86,1364.5881249999998,1393.0881249999998,4.08237500000007,2.5810000000000004,1364.5881249999998,1393.0881249999998,55,1421.5881249999998,57.0,74.42799999999998
vue,87,1361.1003,1395.1003,18.0,3.8440000000000003,1361.1003,1395.1003,77,1429.1003,68.0,82.28000000000002
vue,88,1359.8128499999998,1385.8128499999998,2.0,3.2489999999999997,1359.8128499999998,1385.8128499999998,60,1411.8128499999998,52.0,68.16400000000004
vue,89,1358.6937,1380.1937,0.0,3.093,1358.6937,1380.1937,46,1380.1937,43.0,66.03200000000002
vue,90,1375.7134,1397.2134,0.0,2.782,1375.7134,1397.2134,79,1397.2134,43.0,58.076000000000036
vue,91,1356.9634999999998,1356.9634999999998,0.0,3.033,1356.9634999999998,1356.9634999999998,40,1356.9634999999998,16.0,58.408000000000044
vue,92,1357.9101249999999,1380.9101249999999,0.0,3.1310000000000002,1357.9101249999999,1380.9101249999999,50,1380.9101249999999,46.0,62.59200000000004
vue,93,1356.6418749999998,1356.6418749999998,0.0,2.614,1356.6418749999998,1356.6418749999998,43,1356.6418749999998,16.0,63.412000000000056
vue,94,1357.06875,1357.06875,0.0,2.873,1357.06875,1357.06875,41,1357.06875,16.0,59.70400000000002
vue,95,1357.13425,1380.13425,0.0,2.968,1357.13425,1380.13425,42,1380.13425,46.0,59.260000000000005
vue,96,1358.8451249999998,1382.3451249999998,0.0,3.499,1358.8451249999998,1382.3451249999998,49,1382.3451249999998,47.0,59.34400000000005
